response_id,synthetic_data_notice,raw_defect_type,age_band,gender,residence_region,party_composition,household_income_band,accessibility_needs,route_region,route_corridor,travel_type,direction,trip_purpose,vehicle,sailing_duration_band,accommodation,booking_channel,travel_frequency,completion_seconds,disruption_experienced,mot_price_value,mot_convenience,mot_car_access,mot_comfort_break,mot_scenery,mot_sustainability,mot_visiting_family,mot_business_flexibility,sat_booking,sat_terminal,sat_boarding,sat_cabin_seating,sat_food,sat_cleanliness,sat_staff,sat_wifi,sat_punctuality,sat_value,overall_satisfaction,nps_band,return_intent,recommend_intent,competitor_likelihood,service_recovery_evaluation,raw_response_id,raw_synthetic_data_notice,raw_raw_defect_type,raw_age_band,raw_gender,raw_residence_region,raw_party_composition,raw_household_income_band,raw_accessibility_needs,raw_route_region,raw_route_corridor,raw_travel_type,raw_direction,raw_trip_purpose,raw_vehicle,raw_sailing_duration_band,raw_accommodation,raw_booking_channel,raw_travel_frequency,raw_completion_seconds,raw_disruption_experienced,raw_mot_price_value,raw_mot_convenience,raw_mot_car_access,raw_mot_comfort_break,raw_mot_scenery,raw_mot_sustainability,raw_mot_visiting_family,raw_mot_business_flexibility,raw_sat_booking,raw_sat_terminal,raw_sat_boarding,raw_sat_cabin_seating,raw_sat_food,raw_sat_cleanliness,raw_sat_staff,raw_sat_wifi,raw_sat_punctuality,raw_sat_value,raw_overall_satisfaction,raw_nps_band,raw_return_intent,raw_recommend_intent,raw_competitor_likelihood,raw_service_recovery_evaluation,motivation_summary,satisfaction_summary,quality_flags,quality_status,rag_included
DFDS-00254,Synthetic simulated survey response - not real passenger data,,65+,Woman,Sweden,Couple,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Leisure,None,Long overnight (8+ hours),Private cabin,Phone,Once a year,819,No,3,5,2,4,5,4,1,1,3,3,2,3,4,2,4,3,4,2,4,Promoter (9-10),5,3,2,Not applicable,DFDS-00254,Synthetic simulated survey response - not real passenger data,,65+,Woman,Sweden,Couple,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Leisure,None,Long overnight (8+ hours),Private cabin,Phone,Once a year,819,No,3,5,2,4,5,4,1,1,3,3,2,3,4,2,4,3,4,2,4,Promoter (9-10),5,3,2,Not applicable,Convenience; Scenery and the crossing,3.0,,usable,true
DFDS-00255,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Belgium,Business colleagues,Lower,None,English Channel,Dover-Dunkirk,Car passenger,Return,Business,Car,Short (under 3 hours),Standard seat,Corporate booking,Once a year,856,No,3,3,5,4,4,3,2,5,4,5,5,5,4,4,5,5,5,4,5,Promoter (9-10),4,5,1,Not applicable,DFDS-00255,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Belgium,Business colleagues,Lower,None,English Channel,Dover-Dunkirk,Car passenger,Return,Business,Car,Short (under 3 hours),Standard seat,Corporate booking,Once a year,856,No,3,3,5,4,4,3,2,5,4,5,5,5,4,4,5,5,5,4,5,Promoter (9-10),4,5,1,Not applicable,Vehicle access; Business flexibility,4.6,,usable,true
DFDS-00256,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Couple,Upper-middle,None,English Channel,Dover-Calais,Car passenger,Return,Visiting friends/family,Car,Short (under 3 hours),Not applicable,Corporate booking,First time,525,No,5,3,5,3,3,3,5,3,3,2,4,2,2,2,2,3,3,3,2,Detractor (0-6),1,3,4,Not applicable,DFDS-00256,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Couple,Upper-middle,None,English Channel,Dover-Calais,Car passenger,Return,Visiting friends/family,Car,Short (under 3 hours),Not applicable,Corporate booking,First time,525,No,5,3,5,3,3,3,5,3,3,2,4,2,2,2,2,3,3,3,2,Detractor (0-6),1,3,4,Not applicable,Price and value; Vehicle access; Visiting family or friends,2.6,,usable,true
DFDS-00257,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Leisure,Car,Overnight (6-8 hours),Private cabin,Phone,First time,390,No,3,4,5,5,5,4,3,2,5,3,4,4,4,5,4,5,4,4,3,Passive (7-8),2,3,3,Not applicable,DFDS-00257,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Leisure,Car,Overnight (6-8 hours),Private cabin,Phone,First time,390,No,3,4,5,5,5,4,3,2,5,3,4,4,4,5,4,5,4,4,3,Passive (7-8),2,3,3,Not applicable,Vehicle access; Comfort and a break from driving; Scenery and the crossing,4.2,,usable,true
DFDS-00258,Synthetic simulated survey response - not real passenger data,,18-24,Man,Germany,Friends,Higher,None,North Sea,IJmuiden-Newcastle,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS website,2-3 times a year,342,No,3,5,5,4,4,2,2,3,5,4,5,5,5,5,5,5,4,5,5,Promoter (9-10),5,4,2,Not applicable,DFDS-00258,Synthetic simulated survey response - not real passenger data,,18-24,Man,Germany,Friends,Higher,None,North Sea,IJmuiden-Newcastle,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS website,2-3 times a year,342,No,3,5,5,4,4,2,2,3,5,4,5,5,5,5,5,5,4,5,5,Promoter (9-10),5,4,2,Not applicable,Convenience; Vehicle access,4.8,,usable,true
DFDS-00259,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Germany,Couple,Lower,None,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Visiting friends/family,Car,Long overnight (8+ hours),Premium cabin,DFDS app,2-3 times a year,622,No,5,4,4,5,4,3,5,2,5,4,4,5,3,5,5,5,3,5,3,Passive (7-8),3,2,2,Not applicable,DFDS-00259,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Germany,Couple,Lower,None,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Visiting friends/family,Car,Long overnight (8+ hours),Premium cabin,DFDS app,2-3 times a year,622,No,5,4,4,5,4,3,5,2,5,4,4,5,3,5,5,5,3,5,3,Passive (7-8),3,2,2,Not applicable,Price and value; Comfort and a break from driving; Visiting family or friends,4.4,,usable,true
DFDS-00260,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Denmark,Friends,Middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Motorcycle,Return,Visiting friends/family,Motorcycle,Overnight (6-8 hours),Premium cabin,Phone,First time,259,No,4,5,5,3,3,2,5,3,3,5,4,5,4,3,5,5,3,4,4,Promoter (9-10),3,4,1,Not applicable,DFDS-00260,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Denmark,Friends,Middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Motorcycle,Return,Visiting friends/family,Motorcycle,Overnight (6-8 hours),Premium cabin,Phone,First time,259,No,4,5,5,3,3,2,5,3,3,5,4,5,4,3,5,5,3,4,4,Promoter (9-10),3,4,1,Not applicable,Convenience; Vehicle access; Visiting family or friends,4.1,,usable,true
DFDS-00261,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Germany,Couple,Middle,Other assistance,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Standard seat,Phone,First time,614,No,5,4,3,2,4,3,4,3,5,4,5,4,4,3,4,3,5,4,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00261,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Germany,Couple,Middle,Other assistance,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Standard seat,Phone,First time,614,No,5,4,3,2,4,3,4,3,5,4,5,4,4,3,4,3,5,4,5,Promoter (9-10),5,5,1,Not applicable,Price and value,4.1,,usable,true
DFDS-00262,Synthetic simulated survey response - not real passenger data,,18-24,Man,France,Business colleagues,Prefer not to say,Hearing or vision support,English Channel,Dover-Calais,Motorcycle,Return,Business,Motorcycle,Short (under 3 hours),Standard seat,DFDS app,Once a year,287,No,5,3,5,3,3,3,3,4,5,3,3,5,4,4,4,3,3,5,5,Promoter (9-10),4,4,1,Not applicable,DFDS-00262,Synthetic simulated survey response - not real passenger data,,18-24,Man,France,Business colleagues,Prefer not to say,Hearing or vision support,English Channel,Dover-Calais,Motorcycle,Return,Business,Motorcycle,Short (under 3 hours),Standard seat,DFDS app,Once a year,287,No,5,3,5,3,3,3,3,4,5,3,3,5,4,4,4,3,3,5,5,Promoter (9-10),4,4,1,Not applicable,Price and value; Vehicle access,3.9,,usable,true
DFDS-00263,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Netherlands,Business colleagues,Lower,Hearing or vision support,North Sea,Harwich-Hook of Holland,Foot passenger,Return,Business,None,Overnight (6-8 hours),Private cabin,Corporate booking,Once a year,858,No,5,3,1,5,2,2,2,5,5,4,4,5,5,3,3,4,3,3,4,Promoter (9-10),3,3,2,Not applicable,DFDS-00263,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Netherlands,Business colleagues,Lower,Hearing or vision support,North Sea,Harwich-Hook of Holland,Foot passenger,Return,Business,None,Overnight (6-8 hours),Private cabin,Corporate booking,Once a year,858,No,5,3,1,5,2,2,2,5,5,4,4,5,5,3,3,4,3,3,4,Promoter (9-10),3,3,2,Not applicable,Price and value; Comfort and a break from driving; Business flexibility,3.9,,usable,true
DFDS-00264,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Friends,Prefer not to say,None,North Sea,Harwich-Hook of Holland,Motorcycle,Return,Visiting friends/family,Motorcycle,Overnight (6-8 hours),Private cabin,DFDS website,2-3 times a year,667,No,5,3,5,5,4,4,5,2,5,3,3,3,3,3,4,5,3,4,3,Passive (7-8),2,4,3,Not applicable,DFDS-00264,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Friends,Prefer not to say,None,North Sea,Harwich-Hook of Holland,Motorcycle,Return,Visiting friends/family,Motorcycle,Overnight (6-8 hours),Private cabin,DFDS website,2-3 times a year,667,No,5,3,5,5,4,4,5,2,5,3,3,3,3,3,4,5,3,4,3,Passive (7-8),2,4,3,Not applicable,Price and value; Vehicle access; Comfort and a break from driving; Visiting family or friends,3.6,,usable,true
DFDS-00265,Synthetic simulated survey response - not real passenger data,,65+,Man,United Kingdom,Business colleagues,Upper-middle,Hearing or vision support,North Sea,Harwich-Hook of Holland,Motorcycle,Outbound,Business,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,Once a year,228,No,5,5,4,4,2,3,1,5,4,3,4,2,3,2,3,4,2,4,2,Detractor (0-6),3,1,5,Not applicable,DFDS-00265,Synthetic simulated survey response - not real passenger data,,65+,Man,United Kingdom,Business colleagues,Upper-middle,Hearing or vision support,North Sea,Harwich-Hook of Holland,Motorcycle,Outbound,Business,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,Once a year,228,No,5,5,4,4,2,3,1,5,4,3,4,2,3,2,3,4,2,4,2,Detractor (0-6),3,1,5,Not applicable,Price and value; Convenience; Business flexibility,3.1,,usable,true
DFDS-00266,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Germany,Couple,Lower,None,North Sea,IJmuiden-Newcastle,Car passenger,Return,Holiday transit,Car,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,582,No,3,3,4,3,3,2,1,2,2,2,2,3,3,4,4,3,4,3,4,Promoter (9-10),3,3,1,Not applicable,DFDS-00266,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Germany,Couple,Lower,None,North Sea,IJmuiden-Newcastle,Car passenger,Return,Holiday transit,Car,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,582,No,3,3,4,3,3,2,1,2,2,2,2,3,3,4,4,3,4,3,4,Promoter (9-10),3,3,1,Not applicable,No strong stated motivation,3.0,,usable,true
DFDS-00267,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,France,Friends,Higher,Hearing or vision support,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Standard seat,DFDS website,2-3 times a year,466,Yes,4,4,4,3,2,2,2,1,2,3,3,4,4,4,3,2,2,3,3,Passive (7-8),4,2,4,3,DFDS-00267,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,France,Friends,Higher,Hearing or vision support,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Standard seat,DFDS website,2-3 times a year,466,Yes,4,4,4,3,2,2,2,1,2,3,3,4,4,4,3,2,2,3,3,Passive (7-8),4,2,4,3,No strong stated motivation,3.0,,usable,true
DFDS-00268,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Sweden,Business colleagues,Prefer not to say,Mobility assistance,Norway coastal / overnight,Frederikshavn-Oslo,Freight driver,Return,Freight work,Van / freight vehicle,Overnight (6-8 hours),Premium cabin,DFDS website,2-3 times a year,618,No,3,5,4,4,5,4,2,4,3,3,3,5,4,3,3,4,4,2,4,Promoter (9-10),5,3,3,Not applicable,DFDS-00268,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Sweden,Business colleagues,Prefer not to say,Mobility assistance,Norway coastal / overnight,Frederikshavn-Oslo,Freight driver,Return,Freight work,Van / freight vehicle,Overnight (6-8 hours),Premium cabin,DFDS website,2-3 times a year,618,No,3,5,4,4,5,4,2,4,3,3,3,5,4,3,3,4,4,2,4,Promoter (9-10),5,3,3,Not applicable,Convenience; Scenery and the crossing,3.4,,usable,true
DFDS-00269,Synthetic simulated survey response - not real passenger data,,25-34,Woman,Sweden,Couple,Upper-middle,None,Baltic,Karlshamn-Klaipeda,Car passenger,Outbound,Leisure,Car,Overnight (6-8 hours),Reclining seat,Travel agent,2-3 times a year,258,No,3,4,5,3,3,3,1,2,3,5,4,3,4,4,3,4,3,3,3,Passive (7-8),3,2,3,Not applicable,DFDS-00269,Synthetic simulated survey response - not real passenger data,,25-34,Woman,Sweden,Couple,Upper-middle,None,Baltic,Karlshamn-Klaipeda,Car passenger,Outbound,Leisure,Car,Overnight (6-8 hours),Reclining seat,Travel agent,2-3 times a year,258,No,3,4,5,3,3,3,1,2,3,5,4,3,4,4,3,4,3,3,3,Passive (7-8),3,2,3,Not applicable,Vehicle access,3.6,,usable,true
DFDS-00270,Synthetic simulated survey response - not real passenger data,,18-24,Man,Poland,Couple,Higher,Other assistance,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,500,No,4,5,5,5,4,4,2,2,4,4,4,3,3,5,3,5,3,5,4,Promoter (9-10),5,4,3,Not applicable,DFDS-00270,Synthetic simulated survey response - not real passenger data,,18-24,Man,Poland,Couple,Higher,Other assistance,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,500,No,4,5,5,5,4,4,2,2,4,4,4,3,3,5,3,5,3,5,4,Promoter (9-10),5,4,3,Not applicable,Convenience; Vehicle access; Comfort and a break from driving,3.9,,usable,true
DFDS-00271,Synthetic simulated survey response - not real passenger data,,65+,Woman,Poland,Family with children,Lower,Mobility assistance,Baltic,Karlshamn-Klaipeda,Foot passenger,Outbound,Visiting friends/family,None,Overnight (6-8 hours),Private cabin,Phone,Once a year,688,No,4,4,3,4,3,4,5,3,3,3,3,5,5,3,3,5,4,4,5,Promoter (9-10),5,4,2,Not applicable,DFDS-00271,Synthetic simulated survey response - not real passenger data,,65+,Woman,Poland,Family with children,Lower,Mobility assistance,Baltic,Karlshamn-Klaipeda,Foot passenger,Outbound,Visiting friends/family,None,Overnight (6-8 hours),Private cabin,Phone,Once a year,688,No,4,4,3,4,3,4,5,3,3,3,3,5,5,3,3,5,4,4,5,Promoter (9-10),5,4,2,Not applicable,Visiting family or friends,3.8,,usable,true
DFDS-00272,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Germany,Business colleagues,Middle,Mobility assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Business,Motorcycle,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,691,No,4,4,5,5,2,3,2,5,2,4,2,2,4,4,4,4,2,2,4,Promoter (9-10),5,5,2,Not applicable,DFDS-00272,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Germany,Business colleagues,Middle,Mobility assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Business,Motorcycle,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,691,No,4,4,5,5,2,3,2,5,2,4,2,2,4,4,4,4,2,2,4,Promoter (9-10),5,5,2,Not applicable,Vehicle access; Comfort and a break from driving; Business flexibility,3.0,,usable,true
DFDS-00273,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Lithuania,Solo,Prefer not to say,Hearing or vision support,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Reclining seat,DFDS app,Once a year,319,No,4,5,5,3,3,3,2,3,4,5,5,5,4,5,5,5,5,4,5,Promoter (9-10),5,5,2,Not applicable,DFDS-00273,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Lithuania,Solo,Prefer not to say,Hearing or vision support,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Reclining seat,DFDS app,Once a year,319,No,4,5,5,3,3,3,2,3,4,5,5,5,4,5,5,5,5,4,5,Promoter (9-10),5,5,2,Not applicable,Convenience; Vehicle access,4.7,,usable,true
DFDS-00274,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,France,Friends,Higher,None,English Channel,Dover-Dunkirk,Car passenger,Return,Leisure,Car,Short (under 3 hours),Not applicable,Corporate booking,Once a year,851,No,4,3,5,4,4,3,1,3,4,4,3,5,5,4,4,3,5,3,4,Promoter (9-10),5,3,3,Not applicable,DFDS-00274,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,France,Friends,Higher,None,English Channel,Dover-Dunkirk,Car passenger,Return,Leisure,Car,Short (under 3 hours),Not applicable,Corporate booking,Once a year,851,No,4,3,5,4,4,3,1,3,4,4,3,5,5,4,4,3,5,3,4,Promoter (9-10),5,3,3,Not applicable,Vehicle access,4.0,,usable,true
DFDS-00275,Synthetic simulated survey response - not real passenger data,,45-54,Man,United Kingdom,Family with children,Upper-middle,Other assistance,English Channel,Dover-Dunkirk,Motorcycle,Return,Leisure,Motorcycle,Short (under 3 hours),Standard seat,DFDS website,Monthly or more,379,No,3,5,5,4,4,3,2,3,3,3,5,5,3,5,3,4,5,3,5,Promoter (9-10),5,4,1,Not applicable,DFDS-00275,Synthetic simulated survey response - not real passenger data,,45-54,Man,United Kingdom,Family with children,Upper-middle,Other assistance,English Channel,Dover-Dunkirk,Motorcycle,Return,Leisure,Motorcycle,Short (under 3 hours),Standard seat,DFDS website,Monthly or more,379,No,3,5,5,4,4,3,2,3,3,3,5,5,3,5,3,4,5,3,5,Promoter (9-10),5,4,1,Not applicable,Convenience; Vehicle access,3.9,,usable,true
DFDS-00276,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Netherlands,Business colleagues,Prefer not to say,None,English Channel,Newhaven-Dieppe,Car passenger,Outbound,Business,Car,Medium (3-6 hours),Not applicable,Phone,2-3 times a year,290,No,5,3,5,4,2,4,1,5,4,5,4,5,5,5,5,4,4,5,4,Promoter (9-10),4,4,1,Not applicable,DFDS-00276,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Netherlands,Business colleagues,Prefer not to say,None,English Channel,Newhaven-Dieppe,Car passenger,Outbound,Business,Car,Medium (3-6 hours),Not applicable,Phone,2-3 times a year,290,No,5,3,5,4,2,4,1,5,4,5,4,5,5,5,5,4,4,5,4,Promoter (9-10),4,4,1,Not applicable,Price and value; Vehicle access; Business flexibility,4.6,,usable,true
DFDS-00277,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,United Kingdom,Business colleagues,Upper-middle,None,North Sea,Harwich-Hook of Holland,Foot passenger,Return,Business,None,Overnight (6-8 hours),Reclining seat,Travel agent,Monthly or more,684,Yes,2,3,3,3,3,2,2,4,3,4,2,2,2,3,4,3,2,2,3,Passive (7-8),4,3,4,3,DFDS-00277,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,United Kingdom,Business colleagues,Upper-middle,None,North Sea,Harwich-Hook of Holland,Foot passenger,Return,Business,None,Overnight (6-8 hours),Reclining seat,Travel agent,Monthly or more,684,Yes,2,3,3,3,3,2,2,4,3,4,2,2,2,3,4,3,2,2,3,Passive (7-8),4,3,4,3,No strong stated motivation,2.7,,usable,true
DFDS-00278,Synthetic simulated survey response - not real passenger data,,35-44,Man,Sweden,Friends,Upper-middle,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS website,2-3 times a year,727,No,5,5,5,4,2,4,2,3,3,3,4,3,2,2,3,4,4,2,2,Detractor (0-6),1,3,3,Not applicable,DFDS-00278,Synthetic simulated survey response - not real passenger data,,35-44,Man,Sweden,Friends,Upper-middle,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Leisure,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS website,2-3 times a year,727,No,5,5,5,4,2,4,2,3,3,3,4,3,2,2,3,4,4,2,2,Detractor (0-6),1,3,3,Not applicable,Price and value; Convenience; Vehicle access,3.0,,usable,true
DFDS-00279,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Sweden,Friends,Upper-middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Holiday transit,Car,Overnight (6-8 hours),Reclining seat,Phone,Monthly or more,537,No,3,3,4,3,4,3,3,1,4,4,3,3,4,3,3,5,3,3,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00279,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Sweden,Friends,Upper-middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Holiday transit,Car,Overnight (6-8 hours),Reclining seat,Phone,Monthly or more,537,No,3,3,4,3,4,3,3,1,4,4,3,3,4,3,3,5,3,3,5,Promoter (9-10),5,5,1,Not applicable,No strong stated motivation,3.5,,usable,true
DFDS-00280,Synthetic simulated survey response - not real passenger data,,18-24,Man,France,Solo,Middle,Other assistance,English Channel,Dover-Dunkirk,Motorcycle,Outbound,Holiday transit,Motorcycle,Short (under 3 hours),Reclining seat,DFDS app,First time,468,No,3,5,5,2,3,4,2,2,4,5,3,3,4,5,4,5,3,4,5,Promoter (9-10),5,4,1,Not applicable,DFDS-00280,Synthetic simulated survey response - not real passenger data,,18-24,Man,France,Solo,Middle,Other assistance,English Channel,Dover-Dunkirk,Motorcycle,Outbound,Holiday transit,Motorcycle,Short (under 3 hours),Reclining seat,DFDS app,First time,468,No,3,5,5,2,3,4,2,2,4,5,3,3,4,5,4,5,3,4,5,Promoter (9-10),5,4,1,Not applicable,Convenience; Vehicle access,4.0,,usable,true
DFDS-00281,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Poland,Solo,Lower,Mobility assistance,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Holiday transit,Motorcycle,Overnight (6-8 hours),Private cabin,DFDS website,Monthly or more,331,No,3,5,5,3,4,3,1,1,5,4,4,4,3,5,4,3,4,3,4,Promoter (9-10),3,3,3,Not applicable,DFDS-00281,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Poland,Solo,Lower,Mobility assistance,Baltic,Karlshamn-Klaipeda,Motorcycle,Return,Holiday transit,Motorcycle,Overnight (6-8 hours),Private cabin,DFDS website,Monthly or more,331,No,3,5,5,3,4,3,1,1,5,4,4,4,3,5,4,3,4,3,4,Promoter (9-10),3,3,3,Not applicable,Convenience; Vehicle access,3.9,,usable,true
DFDS-00282,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Netherlands,Business colleagues,Prefer not to say,None,English Channel,Newhaven-Dieppe,Foot passenger,Return,Business,None,Medium (3-6 hours),Standard seat,DFDS app,Once a year,422,No,5,5,1,4,4,2,2,5,4,5,3,3,5,3,5,4,3,3,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00282,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Netherlands,Business colleagues,Prefer not to say,None,English Channel,Newhaven-Dieppe,Foot passenger,Return,Business,None,Medium (3-6 hours),Standard seat,DFDS app,Once a year,422,No,5,5,1,4,4,2,2,5,4,5,3,3,5,3,5,4,3,3,5,Promoter (9-10),5,5,1,Not applicable,Price and value; Convenience; Business flexibility,3.8,,usable,true
DFDS-00283,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Belgium,Solo,Lower,None,English Channel,Dover-Dunkirk,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Not applicable,Phone,Once a year,408,No,5,3,4,3,2,4,3,3,4,3,4,5,5,3,3,5,5,4,4,Promoter (9-10),5,3,2,Not applicable,DFDS-00283,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Belgium,Solo,Lower,None,English Channel,Dover-Dunkirk,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Not applicable,Phone,Once a year,408,No,5,3,4,3,2,4,3,3,4,3,4,5,5,3,3,5,5,4,4,Promoter (9-10),5,3,2,Not applicable,Price and value,4.1,,usable,true
DFDS-00284,Synthetic simulated survey response - not real passenger data,,18-24,Woman,Sweden,Family with children,Lower,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Reclining seat,Travel agent,Once a year,711,No,5,4,5,4,2,4,1,3,4,3,5,5,5,5,3,5,3,5,5,Promoter (9-10),5,5,2,Not applicable,DFDS-00284,Synthetic simulated survey response - not real passenger data,,18-24,Woman,Sweden,Family with children,Lower,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Reclining seat,Travel agent,Once a year,711,No,5,4,5,4,2,4,1,3,4,3,5,5,5,5,3,5,3,5,5,Promoter (9-10),5,5,2,Not applicable,Price and value; Vehicle access,4.3,,usable,true
DFDS-00285,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Denmark,Friends,Middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Visiting friends/family,Car,Overnight (6-8 hours),Reclining seat,Travel agent,Monthly or more,884,No,5,4,4,3,3,2,5,1,3,5,3,3,5,5,3,4,5,5,3,Passive (7-8),4,3,3,Not applicable,DFDS-00285,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Denmark,Friends,Middle,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Return,Visiting friends/family,Car,Overnight (6-8 hours),Reclining seat,Travel agent,Monthly or more,884,No,5,4,4,3,3,2,5,1,3,5,3,3,5,5,3,4,5,5,3,Passive (7-8),4,3,3,Not applicable,Price and value; Visiting family or friends,4.1,,usable,true
DFDS-00286,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Sweden,Solo,Upper-middle,None,Baltic,Karlshamn-Klaipeda,Car passenger,Return,Leisure,Car,Overnight (6-8 hours),Premium cabin,Phone,Once a year,288,No,3,5,4,4,2,3,1,3,3,5,3,3,5,3,4,5,3,3,3,Passive (7-8),3,3,4,Not applicable,DFDS-00286,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Sweden,Solo,Upper-middle,None,Baltic,Karlshamn-Klaipeda,Car passenger,Return,Leisure,Car,Overnight (6-8 hours),Premium cabin,Phone,Once a year,288,No,3,5,4,4,2,3,1,3,3,5,3,3,5,3,4,5,3,3,3,Passive (7-8),3,3,4,Not applicable,Convenience,3.7,,usable,true
